name,score,funding,investors,employees,industries,business_model,location,outsource,contact,_id
EMnify,50,$65.8M Series B,,101 - 251,Manufacturing,b2b,"Berlin, Germany","Hiring, Marketing, Software Engineering, Cybersecurity, B...",a***************o@emnify.com,66f64c33cf7a21b145e9d2b9
AMSilk,48,$27.2M Series C,1,11 - 51,Manufacturing,b2b,"Munich, Germany","Marketing, Software Engineering, Marketing, Branding, Man...",u*************l@amsilk.com,66f64c33cf7a21b145e9d2ba
Planet A Foods (formerly QOA),48,$21.9M Series A,4,1 - 11,Manufacturing,,"Munich, Germany","Marketing, Software Engineering, Marketing, Branding, Man...",,66f64c33cf7a21b145e9d2bb
Formo,48,$111M Series B,11,51 - 200,Manufacturing,b2c,"Berlin, Germany","Hiring, Marketing, Software Engineering, Cybersecurity, B...",r*****l@formo.bio,66f64c33cf7a21b145e9d2bc
Ninox (company),48,$11.7M Seed,2,11 - 50,Manufacturing,b2b saas,"Berlin, Germany","Hiring, Design, Software Engineering, App Development, Ma...",f***********r@ninox.com,66f64c33cf7a21b145e9d2bd
scoutbee,48,$72.0M Series B,3,51 - 200,Manufacturing,b2b saas,"Würzburg, Germany","Hiring, Marketing, Software Engineering, Cybersecurity, B...",p**l@scoutbee.com,66f64c33cf7a21b145e9d2be
Celus,48,$27.3M Series A,3,51 - 101,Manufacturing,b2b saas,"Munich, Germany","Marketing, Software Engineering, Marketing, Branding, Man...",t*********l@celus.io,66f64c33cf7a21b145e9d2bf
Formel Skin,48,$40.0M Seed,4,51 - 101,Manufacturing,b2c,"Berlin, Germany","Design, Software Engineering, Sales, Marketing, Cybersecu...",f************r@formelskin.de,66f64c33cf7a21b145e9d2c0
instagrid,48,$137M Series C,4,101 - 251,Manufacturing,b2b,"Stuttgart, Germany","Cybersecurity, Branding, Management Consulting, Sales, Hi...",a**************r@instagrid.co,66f64c33cf7a21b145e9d2c1
Reverion,48,$70.5M Series A,7,51 - 200,Manufacturing,b2b,"Munich, Germany","Hiring, Marketing, Software Engineering, Cybersecurity, B...",f***********r@reverion.de,66f64c33cf7a21b145e9d2c2
Marvel Fusion,48,$30.4M Unknown,1,11 - 51,Manufacturing,b2b,"Munich, Germany","Marketing, Software Engineering, Marketing, Branding, Man...",m****z@marvelfusion.com,66f64c33cf7a21b145e9d2c3
Wandelbots,48,$135M Series C,8,101 - 251,Manufacturing,b2b saas,"Dresden, Germany","Cybersecurity, Branding, Management Consulting, Sales, Hi...",c*****************k@wandelbots.com,66f64c33cf7a21b145e9d2c4
The Mobility House,46,$101M Unknown,1,101 - 251,Manufacturing,b2b,"Munich, Germany","Hiring, Marketing, Software Engineering, Cybersecurity, B...",t**************r@mobilityhouse.com,66f64c33cf7a21b145e9d2c5
Sono Motors,46,$117M Series B,1,251 - 501,Manufacturing,b2b b2c,"Munich, Germany","Hiring, Marketing, Software Engineering, Cybersecurity, B...",d*************a@sonomotors.com,66f64c33cf7a21b145e9d2c6
Ionity,46,$785M Unknown,1,101 - 251,Manufacturing,b2b,"Munich, Germany","Cybersecurity, Branding, Management Consulting, Sales, Hi...",m*************h@ionity.eu,66f64c33cf7a21b145e9d2c7
DyeMansion,44,$31.0M Unknown,3,51 - 101,Manufacturing,b2b,"Munich, Germany","Marketing, Software Engineering, Marketing, Branding, Man...",f***x@dyemansion.com,66f64c33cf7a21b145e9d2c8
Project Eaden,44,$8.5M Seed,2,1 - 11,Manufacturing,b2b,"Berlin, Germany","Design, Software Engineering, Sales, Marketing, Cybersecu...",*****@projecteaden.com,66f64c33cf7a21b145e9d2c9
Sewts,44,$8.2M Series A,5,11 - 51,Manufacturing,b2b,"Munich, Germany","Design, Software Engineering, Sales, Marketing, Cybersecu...",a************y@sewts.de,66f64c33cf7a21b145e9d2ca
Phelas,44,$5.2M Seed,3,11 - 51,Manufacturing,b2b,"Munich, Germany","Design, Software Engineering, Sales, Marketing, Cybersecu...",j****n@phelas.com,66f64c33cf7a21b145e9d2cb
Spread,44,$18.9M Series A,3,51 - 101,Manufacturing,b2b saas,"Berlin, Germany","Marketing, Software Engineering, Marketing, Branding, Man...",r****t@spread.ai,66f64c33cf7a21b145e9d2cc
Next Matter,44,$20.0M Series A,3,11 - 51,Manufacturing,b2b saas,"Berlin, Germany","Marketing, Software Engineering, Marketing, Branding, Man...",j*n@nextmatter.com,66f64c33cf7a21b145e9d2cd
CNC24,44,$8.5M Series A,5,11 - 51,Manufacturing,b2b,"Berlin, Germany","Design, Software Engineering, Sales, Marketing, Cybersecu...",,66f64c33cf7a21b145e9d2ce
Dance,44,$17.2M Series A,6,51 - 101,Manufacturing,b2c saas,"Berlin, Germany","Design, Software Engineering, Sales, Marketing, Cybersecu...",e**c@dance.co,66f64c33cf7a21b145e9d2cf
Arculus,44,$20.5M Series A,3,101 - 251,Manufacturing,b2b saas,"Munich, Germany","Marketing, Software Engineering, Marketing, Branding, Man...",c********z@arculus.de,66f64c33cf7a21b145e9d2d0
Inuru,44,$10.3M Series A,4,11 - 51,Manufacturing,b2b,"Berlin, Germany","Design, Software Engineering, Sales, Marketing, Cybersecu...",r*******k@inuru.com,66f64c33cf7a21b145e9d2d1
Planet A Foods,44,$15.4M Series A,4,11 - 51,Manufacturing,b2c,"Munich, Germany","Marketing, Software Engineering, Marketing, Branding, Man...",m*x@forplaneta.com,66f64c33cf7a21b145e9d2d2
MakerVerse,44,$10.2M Series A,1,11 - 51,Manufacturing,,"Berlin, Germany","Design, Software Engineering, Sales, Marketing, Cybersecu...",t********k@makerverse.ai,66f64c33cf7a21b145e9d2d3
Sunhero,44,$14.7M Series A,3,51 - 101,Manufacturing,b2b b2c,"Berlin, Germany","Design, Software Engineering, Sales, Marketing, Cybersecu...",s****n@sunhero.com,66f64c33cf7a21b145e9d2d4
Tado°,43,$92.9M Series C,,101 - 251,Manufacturing,b2b,"Munich, Germany","Hiring, Marketing, Software Engineering, Cybersecurity, B...",j*********n@tado.com,66f64c33cf7a21b145e9d2d5
Lemmo,43,$10.0M Seed,2,11 - 51,Manufacturing,b2c,"Berlin, Germany","Design, Software Engineering, Sales, Marketing, Cybersecu...",d****l@lemmofuture.com,66f64c33cf7a21b145e9d2d6
Dive,43,$10.0M Series A,4,11 - 51,Manufacturing,b2b saas,"Berlin, Germany","Design, Software Engineering, Sales, Marketing, Cybersecu...",s*******i@dive-solutions.de,66f64c33cf7a21b145e9d2d7
unu motors,43,$21.8M Unknown,2,101 - 251,Manufacturing,b2b b2c,"Berlin, Germany","Marketing, Software Engineering, Marketing, Branding, Man...",p****l@unumotors.com,66f64c33cf7a21b145e9d2d8
remberg,41,$14.7M Series A,4,11 - 51,Manufacturing,b2b saas,"Munich, Germany","Design, Software Engineering, Sales, Marketing, Cybersecu...",c***********r@remberg.de,66f64c33cf7a21b145e9d2d9
German Bionic,41,$32.1M Series A,5,51 - 101,Manufacturing,b2b,"Augsburg, Germany","Marketing, Software Engineering, Marketing, Branding, Man...",d******l@germanbionic.com,66f64c33cf7a21b145e9d2da
fruitcore robotics,41,$44.2M Series B,3,101 - 251,Manufacturing,b2b,"Stuttgart, Germany","Marketing, Software Engineering, Marketing, Branding, Man...",j**********r@fruitcore.de,66f64c33cf7a21b145e9d2db
Traceless materials,41,$39.0M Series A,4,11 - 51,Manufacturing,b2b,"Hamburg, Germany","Marketing, Software Engineering, Marketing, Branding, Man...",a**e@traceless.eu,66f64c33cf7a21b145e9d2dc
Software Defined Automation,41,$10.0M Seed,3,11 - 51,Manufacturing,b2b saas,"Munich, Germany","Design, Software Engineering, Sales, Marketing, Cybersecu...",j*********l@softwaredefinedautomation.io,66f64c33cf7a21b145e9d2dd
Nimmsta,41,$5.0M Seed,1,11 - 51,Manufacturing,b2b,"Munich, Germany","Design, Software Engineering, Sales, Marketing, Cybersecu...",r*****d@nimmsta.com,66f64c33cf7a21b145e9d2de
Quantum Diamonds,41,$7.7M Seed,4,1 - 11,Manufacturing,b2b,"Munich, Germany","Design, Software Engineering, Sales, Marketing, Cybersecu...",k************f@quantumdiamonds.de,66f64c33cf7a21b145e9d2df
Workerbase,41,$10.0M Series A,4,11 - 51,Manufacturing,b2b saas,"Munich, Germany","Design, Software Engineering, Sales, Marketing, Cybersecu...",n****n@workerbase.com,66f64c33cf7a21b145e9d2e0
Blickfeld,41,$12.5M Series A,7,101 - 251,Manufacturing,b2b,"Munich, Germany","Design, Software Engineering, Sales, Marketing, Cybersecu...",f***********t@blickfeld.com,66f64c33cf7a21b145e9d2e1
Hyperganic,41,$9.4M Unknown,2,11 - 51,Manufacturing,b2b,"Munich, Germany","Design, Software Engineering, Sales, Marketing, Cybersecu...",g******e@hyperganic.com,66f64c33cf7a21b145e9d2e2
Hololight,41,$12.0M Series A,3,51 - 101,Manufacturing,b2b saas,"Munich, Germany","Design, Software Engineering, Sales, Marketing, Cybersecu...",s*********r@holo-light.com,66f64c33cf7a21b145e9d2e3
Quantica,40,$15.4M Series A,2,11 - 51,Manufacturing,,"Berlin, Germany","Marketing, Software Engineering, Marketing, Branding, Man...",j****r@quantica3d.com,66f64c33cf7a21b145e9d2e4
Customcells,40,$63.0M Unknown,3,51 - 200,Manufacturing,b2b,"Hamburg, Germany","Hiring, Marketing, Software Engineering, Cybersecurity, B...",*****@customcells.de,66f64c33cf7a21b145e9d2e5
Orcan Energy,40,$27.2M Unknown,1,11 - 51,Manufacturing,b2b,"Munich, Germany","Marketing, Software Engineering, Marketing, Branding, Man...",a*************t@orcan-energy.com,66f64c33cf7a21b145e9d2e6
VoltStorage,40,$30.9M Series C,2,51 - 101,Manufacturing,b2b,"Munich, Germany","Marketing, Software Engineering, Marketing, Branding, Man...",m*************r@voltstorage.com,66f64c33cf7a21b145e9d2e7
CMBlu Energy AG,40,$105M Series D,1,101 - 251,Manufacturing,b2b,"Frankfurt, Germany","Cybersecurity, Branding, Management Consulting, Sales, Hi...",b******n@cmblu.com,66f64c33cf7a21b145e9d2e8
Emergence Therapeutics,40,$99.3M Unknown,2,1 - 11,Manufacturing,b2b,"Duisburg, Germany","Cybersecurity, Branding, Management Consulting, Sales, Hi...",j*****s@emergencetx.com,66f64c33cf7a21b145e9d2e9
gitti,37,$3.5M Seed,3,11 - 51,Manufacturing,b2c,"Berlin, Germany","Design, Software Engineering, Sales, Marketing, Cybersecu...",,66f64c33cf7a21b145e9d2ea
Vanilla Steel,37,$4.0M Seed,1,11 - 51,Manufacturing,b2b marketplace,"Berlin, Germany","Design, Software Engineering, Sales, Marketing, Cybersecu...",s***********e@vanillasteel.com,66f64c33cf7a21b145e9d2eb
DeepDrive,37,$54.4M Series B,3,51 - 200,Manufacturing,b2b,"Munich, Germany","Marketing, Software Engineering, Marketing, Branding, Man...",s*****e@berkeley.edu,66f64c33cf7a21b145e9d2ec
Abalos Therapeutics,37,$63.0M Unknown,3,11 - 51,Manufacturing,b2b,"Essen, Germany","Hiring, Marketing, Software Engineering, Cybersecurity, B...",k****a@abalos-tx.com,66f64c33cf7a21b145e9d2ed
Kewazo,37,$7.8M Series A,1,11 - 51,Manufacturing,b2b,"Munich, Germany","Design, Software Engineering, Sales, Marketing, Cybersecu...",a************v@kewazo.com,66f64c33cf7a21b145e9d2ee
CryoTherapeutics,37,$10.8M Series B,4,1 - 11,Manufacturing,b2b,"Potsdam, Germany","Design, Software Engineering, Sales, Marketing, Cybersecu...",*****@cryotherapeutics.com,66f64c33cf7a21b145e9d2ef
Everdrop,37,$21.8M Unknown,3,51 - 101,Manufacturing,b2c,"Munich, Germany","Design, Software Engineering, Marketing, Hiring",d********e@everdrop.de,66f64c33cf7a21b145e9d2f0
